169992 function calls in 0.169 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.169    0.169 component_checker.py:26(spin)
     9999    0.010    0.000    0.165    0.000 component_checker.py:18(quack)
    39996    0.110    0.000    0.110    0.000 {built-in method builtins.print}
    19998    0.017    0.000    0.071    0.000 component_c.py:8(quack)
     9999    0.009    0.000    0.043    0.000 component_a.py:7(quack)
     9999    0.009    0.000    0.042    0.000 component_b.py:7(quack)
    39996    0.008    0.000    0.010    0.000 component.py:5(__getattr__)
    39996    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        1    0.000    0.000    0.000    0.000 cProfile.py:50(create_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
