46431959 function calls in 50.798 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006   50.798   50.798 component_checker.py:24(spin)
     4990    0.023    0.000   50.792    0.010 component_checker.py:16(quack)
 15469000   35.304    0.000   35.304    0.000 {built-in method builtins.print}
     4990    3.688    0.001   16.534    0.003 component_b.py:7(quack)
     4990    3.668    0.001   16.389    0.003 component_c.py:8(quack)
     4990    3.654    0.001   16.180    0.003 component_d.py:7(quack)
 15469000    3.346    0.000    4.075    0.000 component.py:5(__getattr__)
     4990    0.380    0.000    1.665    0.000 component_a.py:7(quack)
 15469000    0.729    0.000    0.729    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 cProfile.py:50(create_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
