15493959 function calls in 44.317 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008   44.316   44.316 component_checker.py:24(spin)
     4990    0.031    0.000   44.309    0.009 component_checker.py:16(quack)
 15469000   38.685    0.000   38.685    0.000 {built-in method builtins.print}
     4990    1.803    0.000   14.500    0.003 component_d.py:5(quack)
     4990    1.806    0.000   14.216    0.003 component_c.py:5(quack)
     4990    1.797    0.000   14.161    0.003 component_b.py:5(quack)
     4990    0.186    0.000    1.401    0.000 component_a.py:5(quack)
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 cProfile.py:50(create_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
