30962959 function calls in 46.462 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007   46.462   46.462 component_checker.py:24(spin)
     4990    0.021    0.000   46.456    0.009 component_checker.py:16(quack)
 15469000   37.572    0.000   37.572    0.000 {built-in method builtins.print}
     4990    2.378    0.000   15.054    0.003 component_b.py:7(quack)
     4990    2.383    0.000   14.973    0.003 component_d.py:7(quack)
     4990    2.392    0.000   14.918    0.003 component_c.py:8(quack)
     4990    0.245    0.000    1.490    0.000 component_a.py:7(quack)
 15469000    1.464    0.000    1.464    0.000 component.py:5(current_timestamp)
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        1    0.000    0.000    0.000    0.000 cProfile.py:50(create_stats)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
